Start,End,Power,Set,Test
2019-07-19 08:30,2019-07-22 08:30,50,1,1
2019-07-26 08:30,2019-07-29 08:30,30,1,2
2019-08-02 08:30,2019-08-05 08:30,10,1,3
2019-08-08 08:00,2019-08-08 16:00,30,2,1
2019-08-09 08:00,2019-08-09 16:00,30,2,2
2019-08-10 08:00,2019-08-10 16:00,30,2,3
2019-08-13 09:30,2019-08-13 15:45,30,2,4
2019-08-14 08:00,2019-08-14 16:00,30,2,5
2019-08-15 08:00,2019-08-15 16:00,30,2,6
2019-08-16 08:00,2019-08-16 16:00,30,2,7
2019-08-19 08:00,2019-08-19 16:00,30,2,8
2019-08-20 08:00,2019-08-20 16:00,30,2,9
2019-08-21 08:00,2019-08-21 16:00,30,2,10
2019-08-22 08:00,2019-08-22 16:00,30,2,11
2019-08-28 08:00,2019-08-28 16:00,30,2,12
2019-08-29 08:00,2019-08-29 16:00,30,2,13
2019-08-30 08:00,2019-08-30 16:00,30,2,14
2019-08-31 08:00,2019-08-31 16:00,30,2,15
2019-09-01 08:00,2019-09-01 16:00,30,2,16
2019-09-02 08:00,2019-09-02 16:00,30,2,17
2019-09-03 08:00,2019-09-03 16:00,30,2,18
2019-09-04 08:00,2019-09-04 16:00,30,2,19
2019-09-05 08:00,2019-09-05 16:00,30,2,20
2019-09-06 08:00,2019-09-06 16:00,30,2,21
2019-09-09 08:00,2019-09-09 16:00,30,2,22
2019-09-10 08:00,2019-09-10 16:00,30,2,23
2019-09-11 08:00,2019-09-11 16:00,30,2,24
2019-09-12 08:00,2019-11-14 16:00,30,3,1
